Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
270,Vit Krejci,PG,22,ATL,25,0,5.4,0.5,1.2,.419,0.2,0.7,.278,0.3,0.5,.615,.500,0.0,0.1,.500,0.1,0.6,0.7,0.5,0.1,0.0,0.2,0.6,1.3,krejcvi01
271,Jonathan Kuminga,PF,20,GSW,62,14,20.7,3.8,7.4,.516,0.8,2.2,.358,3.0,5.2,.584,.570,1.3,2.0,.650,1.0,2.3,3.3,1.8,0.6,0.5,1.4,2.4,9.7,kuminjo01
272,Kyle Kuzma,PF,27,WAS,64,64,35.0,8.0,17.8,.448,2.5,7.5,.333,5.5,10.3,.533,.518,2.7,3.7,.730,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2,kuzmaky01
273,Anthony Lamb,SF,25,GSW,57,3,19.8,2.5,5.2,.471,1.3,3.4,.376,1.2,1.8,.650,.594,0.7,1.0,.750,0.9,2.5,3.4,1.6,0.5,0.3,0.9,2.2,6.9,lamban01
274,Jock Landale,C,27,PHO,65,3,14.2,2.5,4.8,.523,0.3,1.3,.244,2.2,3.5,.623,.555,1.2,1.6,.765,1.7,2.3,4.0,1.0,0.2,0.5,0.9,1.9,6.5,landajo01
275,Romeo Langford,SG,23,SAS,39,21,20.1,3.0,6.3,.478,0.4,1.5,.281,2.6,4.8,.537,.510,0.8,1.3,.673,1.4,1.4,2.8,1.2,0.5,0.3,0.6,1.7,7.3,langfro01
276,Jake LaRavia,PF,21,MEM,34,0,12.1,1.1,2.8,.389,0.7,2.1,.338,0.4,0.7,.542,.516,0.2,0.3,.778,0.6,1.3,1.9,0.6,0.4,0.1,0.5,1.4,3.1,laravja01
277,Zach LaVine,SG,27,CHI,72,72,36.2,8.8,18.0,.486,2.7,7.1,.382,6.1,10.9,.553,.561,4.7,5.6,.848,0.6,4.0,4.6,4.2,0.9,0.2,2.6,2.1,25.0,lavinza01
278,A.J. Lawson,SG,22,TOT,13,0,4.8,1.0,2.0,.500,0.5,1.2,.438,0.5,0.8,.600,.635,0.1,0.2,.333,0.2,0.6,0.8,0.1,0.1,0.0,0.1,0.6,2.6,lawsoaj01
279,Damion Lee,SG,30,PHO,71,5,20.5,2.7,6.1,.446,1.5,3.4,.448,1.2,2.7,.443,.570,1.3,1.4,.902,0.5,2.5,3.0,1.4,0.4,0.1,1.0,1.6,8.3,leeda03
280,Saben Lee,PG,23,TOT,22,0,13.7,1.7,4.0,.420,0.3,0.9,.350,1.4,3.1,.441,.460,1.6,2.1,.766,0.5,1.2,1.7,2.5,0.7,0.0,1.0,1.2,5.3,leesa01
281,Alex Len,C,29,SAC,20,1,4.1,0.4,0.9,.471,0.0,0.1,.000,0.4,0.8,.533,.471,0.3,0.5,.600,0.3,1.1,1.4,0.3,0.1,0.2,0.5,0.8,1.1,lenal01
282,Kawhi Leonard,SF,31,LAC,47,45,33.6,8.5,16.6,.513,1.9,4.7,.414,6.6,11.9,.553,.572,4.7,5.4,.869,1.1,5.2,6.3,4.0,1.5,0.5,1.6,1.6,23.6,leonaka01
283,Meyers Leonard,C,30,MIL,6,0,8.5,1.3,2.3,.571,0.8,1.7,.500,0.5,0.7,.750,.750,0.5,0.7,.750,0.3,1.8,2.2,0.0,0.2,0.0,0.3,1.2,4.0,leoname01
284,Caris LeVert,SG,28,CLE,71,29,30.0,4.3,10.0,.427,1.6,4.3,.380,2.6,5.7,.462,.508,1.8,2.5,.720,0.7,3.1,3.8,3.9,1.0,0.3,1.6,2.3,11.9,leverca01
285,Kira Lewis Jr.,PG,21,NOP,24,0,9.7,1.7,3.7,.455,0.6,1.4,.441,1.0,2.3,.463,.540,0.7,0.8,.850,0.2,1.2,1.4,1.0,0.4,0.1,0.4,1.0,4.7,lewiski01
286,Damian Lillard,PG,32,POR,58,58,36.3,9.6,20.7,.463,4.2,11.3,.371,5.4,9.4,.574,.564,8.8,9.6,.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,lillada01
287,Nassir Little,SF,22,POR,53,4,18.2,2.5,5.6,.441,1.1,2.9,.359,1.4,2.7,.531,.535,0.6,0.8,.727,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,littlna01
288,Isaiah Livers,PF,24,DET,49,19,22.8,2.2,5.4,.413,1.3,3.8,.349,0.9,1.6,.564,.536,0.5,0.7,.788,0.5,2.1,2.7,0.8,0.6,0.5,0.6,1.9,6.3,liveris01
289,Kenneth Lofton Jr.,PF,20,MEM,19,0,5.5,1.4,2.9,.482,0.3,0.6,.417,1.2,2.3,.500,.527,0.4,0.7,.538,0.5,1.0,1.5,0.9,0.2,0.1,0.3,1.0,3.5,loftoke01
290,Kevon Looney,C,26,GSW,77,67,23.8,3.0,4.7,.636,0.0,0.0,.000,3.0,4.7,.638,.636,1.2,1.9,.600,3.3,5.8,9.1,2.5,0.6,0.6,0.6,2.8,7.2,looneke01
291,Brook Lopez,C,34,MIL,74,74,30.5,6.0,11.5,.526,1.8,4.8,.372,4.3,6.7,.635,.603,1.9,2.4,.781,2.0,4.8,6.8,1.3,0.5,2.5,1.4,2.6,15.7,lopezbr01
292,Robin Lopez,C,34,CLE,34,1,7.5,1.1,1.8,.650,0.1,0.1,.667,1.1,1.7,.649,.667,0.4,0.5,.750,0.6,0.7,1.3,0.4,0.0,0.2,0.6,1.0,2.7,lopezro01
293,Kevin Love,PF,34,TOT,58,20,20.3,2.6,6.8,.384,1.6,4.8,.332,1.0,2.1,.504,.500,1.3,1.4,.880,1.0,5.6,6.5,1.9,0.3,0.2,1.1,1.6,8.1,loveke01
294,Kyle Lowry,PG,36,MIA,51,44,32.1,3.7,9.1,.404,2.0,5.8,.346,1.7,3.3,.506,.514,2.1,2.5,.858,0.8,3.4,4.2,5.1,1.1,0.4,1.9,2.7,11.5,lowryky01
295,Trey Lyles,PF,27,SAC,68,0,16.9,2.5,5.5,.464,1.2,3.2,.367,1.4,2.3,.600,.571,1.5,1.8,.815,0.9,3.1,4.0,0.9,0.4,0.4,0.9,1.3,7.8,lylestr01
296,Théo Maledon,PG,21,CHO,39,2,16.9,1.9,4.7,.404,0.6,1.8,.319,1.3,2.8,.459,.467,1.4,1.6,.871,0.3,2.2,2.5,2.7,0.7,0.3,1.1,1.2,5.8,maledth01
297,Sandro Mamukelashvili,C,23,TOT,37,3,13.7,1.8,4.6,.402,0.6,2.2,.288,1.2,2.4,.506,.470,0.8,1.1,.690,1.3,2.4,3.7,1.2,0.2,0.2,0.6,1.3,5.1,mamuksa01
298,Terance Mann,SG,26,LAC,76,36,23.2,3.4,6.5,.524,0.9,2.4,.387,2.5,4.1,.606,.597,1.2,1.5,.789,1.0,2.5,3.5,2.3,0.5,0.3,1.0,1.8,9.0,mannte01
299,Tre Mann,PG,21,OKC,64,4,17.7,2.9,7.5,.387,1.3,3.9,.317,1.7,3.6,.463,.470,0.6,0.8,.740,0.4,1.8,2.2,1.7,0.6,0.2,0.9,1.5,7.7,manntr01
300,Boban Marjanović,C,34,HOU,27,0,5.2,1.2,1.9,.660,0.0,0.0,.000,1.2,1.8,.673,.660,0.7,0.9,.750,0.6,1.3,1.9,0.3,0.1,0.0,0.4,0.3,3.1,marjabo01
301,Lauri Markkanen,SF,25,UTA,65,65,34.4,8.7,17.3,.501,3.1,7.7,.396,5.6,9.6,.586,.589,5.3,6.0,.873,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.7,markkla01
302,Naji Marshall,SF,25,NOP,71,21,24.2,3.4,7.7,.435,0.9,3.0,.305,2.4,4.7,.518,.495,1.8,2.3,.798,0.7,3.1,3.7,2.5,0.7,0.2,1.3,1.5,9.5,marshna01
303,Caleb Martin,PF,27,MIA,66,49,29.5,3.6,7.9,.462,1.3,3.5,.364,2.4,4.4,.540,.542,1.3,1.7,.798,1.3,3.7,5.0,1.6,1.0,0.5,1.1,2.1,9.8,martica02
304,Cody Martin,SF,27,CHO,7,0,19.1,2.0,5.1,.389,0.4,2.0,.214,1.6,3.1,.500,.431,0.6,1.0,.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,martico01
305,Kenyon Martin Jr.,SF,22,HOU,77,44,27.8,5.0,8.8,.570,0.9,2.7,.319,4.1,6.1,.682,.619,1.8,2.6,.680,1.5,4.0,5.5,1.5,0.5,0.4,1.2,1.8,12.7,martike04
306,Tyrese Martin,SG,23,ATL,13,0,3.5,0.5,1.2,.375,0.1,0.4,.200,0.4,0.8,.455,.406,0.2,0.2,1.000,0.2,0.3,0.5,0.0,0.1,0.0,0.1,0.2,1.2,martity01
307,Garrison Mathews,SG,26,TOT,51,0,12.8,1.3,3.6,.366,1.2,3.3,.353,0.2,0.4,.474,.524,0.8,0.9,.896,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.7,mathega01
308,Bennedict Mathurin,SF,20,IND,73,12,28.0,5.3,12.2,.434,1.3,4.1,.319,4.0,8.1,.492,.488,4.7,5.6,.825,1.1,2.9,4.0,1.4,0.6,0.1,1.8,2.0,16.6,mathube01
309,Wesley Matthews,SG,36,MIL,46,0,15.5,1.1,3.0,.355,0.8,2.4,.321,0.3,0.6,.483,.482,0.5,0.5,.875,0.7,1.5,2.1,0.6,0.4,0.3,0.3,1.4,3.3,matthwe02
310,Tyrese Maxey,SG,22,PHI,57,38,33.4,7.4,15.5,.480,2.6,6.2,.427,4.8,9.3,.515,.565,3.1,3.6,.841,0.4,2.5,2.9,3.6,0.8,0.1,1.3,2.2,20.5,maxeyty01
311,Miles McBride,PG,22,NYK,59,2,11.8,1.2,3.3,.358,0.6,2.1,.306,0.5,1.2,.449,.456,0.5,0.7,.675,0.2,0.6,0.8,1.2,0.6,0.1,0.4,0.9,3.4,mcbrimi01
312,CJ McCollum,SG,31,NOP,69,69,35.0,7.8,17.9,.435,2.8,7.3,.386,5.0,10.6,.469,.513,2.4,3.1,.788,0.8,3.6,4.4,5.9,0.9,0.5,2.5,2.0,20.8,mccolcj01
313,T.J. McConnell,PG,30,IND,72,6,20.2,3.6,6.8,.532,0.3,0.8,.436,3.3,6.0,.544,.556,0.7,0.9,.841,0.6,2.4,3.0,5.2,1.1,0.1,1.9,1.3,8.3,mccontj01
314,Jaden McDaniels,SF,22,MIN,74,74,30.6,4.7,9.1,.516,1.3,3.4,.388,3.4,5.7,.591,.588,1.4,1.9,.741,1.2,2.7,3.9,1.9,0.9,0.9,1.4,3.5,12.1,mcdanja02
315,Jalen McDaniels,SF,25,TOT,74,22,24.0,3.5,7.7,.453,0.9,3.0,.320,2.6,4.8,.535,.514,1.5,1.8,.833,0.8,3.6,4.4,1.6,1.0,0.4,1.2,2.7,9.4,mcdanja01
316,Doug McDermott,SF,31,SAS,62,0,20.6,3.7,8.1,.457,1.9,4.6,.416,1.8,3.5,.512,.576,0.7,1.0,.738,0.3,1.8,2.2,1.5,0.2,0.1,0.9,1.8,10.0,mcderdo01
317,JaVale McGee,C,35,DAL,39,7,8.1,1.8,2.9,.619,0.0,0.1,.250,1.8,2.8,.633,.624,0.6,0.9,.595,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.2,mcgeeja01
318,Bryce McGowens,SG,20,CHO,41,2,15.4,1.3,3.7,.364,0.5,1.5,.328,0.9,2.2,.389,.430,1.0,1.3,.750,0.4,1.3,1.7,1.0,0.3,0.1,0.7,1.0,4.1,mcgowbr01
319,Rodney McGruder,SG,31,DET,33,12,15.9,1.9,4.6,.408,1.2,2.9,.423,0.6,1.7,.382,.543,0.5,0.7,.818,0.6,1.6,2.2,0.8,0.5,0.0,0.3,1.2,5.5,mcgruro01
320,Jordan McLaughlin,PG,26,MIN,39,0,15.9,1.5,3.5,.426,0.5,1.8,.292,0.9,1.6,.578,.504,0.3,0.4,.786,0.4,1.1,1.5,3.3,0.8,0.1,0.8,0.6,3.8,mclaujo01
321,De'Anthony Melton,PG,24,PHI,73,56,28.2,3.7,8.6,.430,2.1,5.3,.399,1.6,3.3,.479,.553,0.9,1.1,.795,0.9,3.2,4.2,2.6,1.7,0.5,1.4,2.5,10.4,meltode01
322,Sam Merrill,SG,26,CLE,3,0,3.7,0.3,1.3,.250,0.0,1.0,.000,0.3,0.3,1.000,.250,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.7,0.7,merrisa01
323,Chimezie Metu,C,25,SAC,62,0,10.6,2.0,3.3,.592,0.1,0.6,.243,1.8,2.7,.669,.614,0.7,0.9,.759,0.7,2.3,3.0,0.6,0.3,0.3,0.5,1.3,4.8,metuch01
324,Khris Middleton,SF,31,MIL,30,16,24.7,5.5,12.5,.441,1.6,5.0,.315,4.0,7.6,.524,.504,2.9,3.2,.896,0.9,3.5,4.4,5.0,0.8,0.2,2.3,2.1,15.5,middlkh01
325,Patty Mills,PG,34,BRK,39,1,13.6,2.1,5.1,.419,1.2,3.2,.376,0.9,1.9,.493,.538,0.5,0.6,.913,0.2,0.9,1.1,1.4,0.4,0.1,0.7,0.7,6.0,millspa02
326,Shake Milton,SG,26,PHI,71,9,20.3,3.1,6.4,.481,0.7,1.9,.387,2.4,4.5,.522,.539,1.3,1.5,.853,0.5,2.0,2.5,2.9,0.3,0.2,1.2,1.6,8.3,miltosh01
327,Josh Minott,SF,20,MIN,14,0,6.6,1.3,2.4,.529,0.1,0.4,.333,1.1,2.0,.571,.559,0.6,0.6,1.000,0.4,1.4,1.8,0.3,0.3,0.4,0.2,0.7,3.3,minotjo01
328,Davion Mitchell,PG,24,SAC,75,8,18.1,2.3,4.9,.458,0.8,2.4,.320,1.5,2.5,.590,.537,0.3,0.4,.806,0.2,1.1,1.3,2.2,0.5,0.2,0.8,1.4,5.6,mitchda01
329,Donovan Mitchell,SG,26,CLE,65,65,35.6,9.8,20.5,.476,3.6,9.4,.380,6.2,11.1,.557,.563,4.6,5.3,.871,1.0,3.2,4.2,4.5,1.5,0.4,2.6,2.4,27.6,mitchdo01
330,Evan Mobley,PF,21,CLE,75,75,34.5,6.7,12.1,.557,0.3,1.3,.212,6.4,10.7,.599,.569,2.7,4.0,.673,2.4,6.6,9.0,2.8,0.8,1.5,1.9,2.8,16.4,mobleev01
331,Isaiah Mobley,PF,23,CLE,11,0,3.0,0.5,0.9,.500,0.1,0.3,.333,0.4,0.6,.571,.550,0.0,0.0,,0.1,1.0,1.1,0.0,0.1,0.1,0.0,0.2,1.0,mobleis01
332,Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,1.0,.000,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,monekch01
333,Malik Monk,SG,24,SAC,73,0,22.3,4.6,10.3,.445,1.8,5.2,.357,2.8,5.2,.533,.534,2.5,2.8,.891,0.4,2.2,2.7,3.9,0.6,0.3,1.9,1.6,13.5,monkma01
334,Moses Moody,SG,20,GSW,59,3,12.7,1.5,3.4,.450,0.7,2.1,.341,0.8,1.3,.620,.554,0.6,0.9,.692,0.4,1.2,1.6,0.8,0.3,0.1,0.5,0.8,4.4,moodymo01
335,Xavier Moon,SG,28,LAC,2,0,4.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,moonxa01
336,Wendell Moore Jr.,SG,21,MIN,27,2,5.5,0.6,1.6,.405,0.1,0.6,.118,0.6,0.9,.600,.429,0.1,0.2,.800,0.1,0.5,0.6,0.7,0.3,0.2,0.3,0.5,1.5,moorewe01
337,Ja Morant,PG,23,MEM,57,55,32.1,9.5,20.4,.465,1.5,5.0,.309,7.9,15.4,.515,.503,6.4,8.5,.754,1.1,4.7,5.8,8.1,1.1,0.3,3.4,1.7,26.9,moranja01
338,Marcus Morris,PF,33,LAC,65,65,28.1,4.2,9.9,.426,1.7,4.7,.364,2.5,5.2,.484,.513,1.0,1.3,.782,0.4,3.5,4.0,1.8,0.6,0.3,0.9,2.1,11.2,morrima03
339,Markieff Morris,PF,33,TOT,33,1,9.7,1.2,2.8,.413,0.7,1.7,.411,0.5,1.1,.417,.538,0.3,0.3,1.000,0.4,1.5,1.9,0.8,0.3,0.2,0.5,1.3,3.3,morrima02
340,Monte Morris,PG,27,WAS,61,60,27.6,4.0,8.4,.482,1.3,3.3,.383,2.8,5.1,.547,.558,1.0,1.2,.829,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.4,morrimo01
341,Trey Murphy III,SF,22,NOP,73,59,30.3,4.8,9.8,.484,2.5,6.1,.409,2.2,3.7,.607,.612,1.9,2.1,.914,0.8,2.9,3.6,1.4,1.1,0.5,0.8,2.0,13.9,murphtr02
342,Dejounte Murray,SG,26,ATL,69,69,36.4,8.2,18.0,.458,1.9,5.4,.349,6.3,12.6,.504,.510,2.1,2.6,.827,0.7,4.6,5.3,6.1,1.5,0.3,2.1,1.4,20.5,murrade01
343,Jamal Murray,PG,25,DEN,61,61,33.1,7.4,16.2,.454,2.6,6.6,.400,4.7,9.6,.491,.535,2.8,3.4,.825,0.7,3.3,4.0,6.2,1.0,0.2,2.2,1.6,20.1,murraja01
344,Keegan Murray,SF,22,SAC,74,72,29.7,4.3,9.6,.446,2.5,6.2,.407,1.8,3.4,.518,.578,0.8,1.1,.756,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2.0,11.9,murrake02
345,Mike Muscala,C,31,TOT,57,7,14.5,2.0,4.5,.440,1.3,3.3,.392,0.7,1.3,.562,.581,0.6,0.7,.780,0.5,2.6,3.1,0.8,0.3,0.4,0.3,1.6,5.8,muscami01
346,Svi Mykhailiuk,SF,25,TOT,27,3,11.1,1.4,3.4,.429,0.9,2.0,.472,0.5,1.4,.368,.566,0.7,1.1,.633,0.3,0.9,1.1,0.9,0.3,0.1,0.3,0.5,4.5,mykhasv01
347,Larry Nance Jr.,PF,30,NOP,59,1,21.1,3.0,4.8,.612,0.2,0.7,.333,2.7,4.1,.660,.636,0.8,1.2,.685,1.7,3.9,5.5,1.8,0.9,0.6,0.6,2.1,7.0,nancela02
348,Andrew Nembhard,SG,23,IND,70,58,27.3,3.6,8.3,.438,1.2,3.6,.345,2.4,4.7,.508,.512,0.6,0.7,.804,0.4,2.2,2.6,4.3,0.9,0.2,1.6,2.4,9.1,nembhan01
349,Aaron Nesmith,SF,23,IND,68,55,24.9,3.4,8.1,.426,1.5,4.3,.358,1.9,3.8,.504,.522,1.6,1.8,.848,0.8,2.9,3.7,1.4,0.8,0.5,1.1,3.3,10.0,nesmiaa01
350,Raul Neto,PG,30,CLE,45,1,10.0,1.1,2.1,.532,0.3,0.8,.324,0.8,1.3,.667,.596,0.5,0.6,.889,0.2,0.7,0.9,1.4,0.4,0.1,0.4,0.9,3.0,netora01
351,Georges Niang,PF,29,PHI,73,0,19.5,2.8,6.5,.442,2.0,5.0,.404,0.8,1.5,.570,.598,0.5,0.6,.864,0.2,2.2,2.4,1.0,0.4,0.2,0.7,1.9,8.2,niangge01
352,Daishen Nix,PG,20,HOU,53,7,16.5,1.5,4.3,.350,0.8,2.5,.301,0.7,1.8,.419,.438,0.5,0.7,.667,0.3,1.5,1.8,2.4,0.6,0.1,1.5,1.1,4.2,nixda01
353,Zeke Nnaji,PF,22,DEN,48,5,13.2,2.0,3.4,.580,0.3,1.0,.271,1.7,2.4,.711,.620,0.8,1.2,.672,1.2,1.2,2.4,0.3,0.3,0.4,0.5,1.9,5.0,nnajize01
354,Nerlens Noel,C,28,TOT,17,4,11.5,0.8,2.1,.361,0.1,0.1,.500,0.7,2.0,.353,.375,0.5,0.7,.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,noelne01
355,Jaylen Nowell,SG,23,MIN,65,2,19.3,4.3,9.6,.448,1.0,3.6,.289,3.3,6.0,.542,.502,1.2,1.5,.778,0.6,2.1,2.6,2.0,0.6,0.1,1.0,1.6,10.8,nowelja01
356,Frank Ntilikina,PG,24,DAL,45,3,11.8,0.9,2.5,.360,0.3,1.3,.250,0.6,1.2,.481,.425,0.4,0.6,.704,0.1,1.1,1.3,1.2,0.3,0.1,0.6,1.3,2.6,ntilila01
357,Kendrick Nunn,SG-PG,27,TOT,64,2,13.3,2.5,6.0,.418,1.0,3.0,.337,1.5,3.0,.500,.503,0.4,0.5,.848,0.2,1.2,1.4,1.1,0.4,0.0,0.8,0.9,6.5,nunnke01
358,Jusuf Nurkić,C,28,POR,52,52,26.8,5.0,9.7,.519,0.8,2.3,.361,4.2,7.4,.567,.561,2.4,3.7,.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,nurkiju01
359,Jordan Nwora,SF,24,TOT,57,9,18.4,2.9,6.7,.438,1.3,3.2,.420,1.6,3.6,.453,.536,1.0,1.3,.787,0.8,2.8,3.5,1.3,0.4,0.2,1.1,1.1,8.3,nworajo01
360,Royce O'Neale,SF,29,BRK,71,52,31.8,3.0,7.8,.390,2.2,5.4,.396,0.9,2.4,.375,.528,0.7,0.9,.731,0.8,4.3,5.1,3.6,0.9,0.6,1.5,3.1,8.9,onealro01
361,Chuma Okeke,SF,24,ORL,23,7,18.1,1.5,4.1,.362,0.9,2.8,.308,0.6,1.3,.483,.468,0.7,0.9,.762,1.0,2.5,3.5,1.1,0.5,0.4,0.5,1.5,4.5,okekech01
362,Josh Okogie,SG,24,PHO,66,20,18.1,2.2,5.7,.395,0.9,2.7,.328,1.4,3.0,.455,.472,1.8,2.5,.726,1.5,1.9,3.4,1.4,0.8,0.5,0.9,1.6,7.2,okogijo01
363,Onyeka Okongwu,C,22,ATL,74,17,23.2,4.0,6.1,.645,0.0,0.1,.250,3.9,6.0,.652,.648,1.9,2.5,.769,2.8,4.5,7.2,1.0,0.7,1.3,1.0,3.2,9.8,okongon01
364,Isaac Okoro,SF,22,CLE,76,46,21.7,2.3,4.7,.494,0.8,2.3,.363,1.5,2.4,.617,.582,1.0,1.4,.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4,okorois01
365,KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,.421,0.2,0.6,.333,0.3,0.5,.529,.513,0.2,0.2,.875,0.2,0.8,1.0,0.4,0.2,0.2,0.2,1.1,1.3,okpalkz01
366,Victor Oladipo,SG,30,MIA,40,2,26.4,3.6,9.2,.387,1.5,4.7,.309,2.1,4.5,.469,.466,1.5,1.9,.773,0.4,2.7,3.1,3.4,1.3,0.3,2.0,2.3,10.0,oladivi01
367,Kelly Olynyk,C,31,UTA,63,63,28.3,4.0,8.1,.494,1.3,3.5,.385,2.6,4.6,.578,.578,2.9,3.4,.859,1.2,4.7,5.9,3.6,0.9,0.5,2.3,3.4,12.2,olynyke01
368,Eugene Omoruyi,SF,25,TOT,36,5,15.6,2.4,5.3,.458,0.5,1.9,.269,1.9,3.5,.560,.505,1.0,1.5,.673,1.1,1.7,2.8,0.6,0.6,0.1,0.8,2.4,6.4,omorueu01
369,Cedi Osman,SF,27,CLE,72,0,20.5,3.1,7.0,.449,1.5,4.1,.363,1.7,2.9,.572,.556,0.9,1.4,.684,0.3,2.0,2.3,1.5,0.5,0.1,0.7,1.6,8.7,osmande01
370,Kelly Oubre Jr.,SF,27,CHO,48,40,32.3,7.4,17.1,.431,2.3,7.1,.319,5.1,10.0,.510,.497,3.3,4.3,.760,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3,oubreke01
371,Chris Paul,PG,37,PHO,55,55,31.9,4.9,11.3,.433,1.5,4.3,.359,3.4,7.0,.478,.501,2.3,2.8,.832,0.5,3.8,4.3,9.1,1.6,0.4,1.9,2.1,13.7,paulch01
372,Cameron Payne,PG,28,PHO,44,14,21.0,4.1,9.8,.420,1.5,4.0,.373,2.6,5.7,.452,.497,1.1,1.4,.758,0.3,2.0,2.3,4.6,0.7,0.2,1.8,1.8,10.8,payneca01
373,Gary Payton II,PG,30,TOT,17,1,16.4,1.6,2.6,.600,0.6,1.1,.526,1.0,1.5,.654,.711,0.4,0.4,1.000,0.7,1.8,2.5,1.4,1.0,0.1,0.8,1.8,4.1,paytoga02
374,Theo Pinson,SG,27,DAL,38,0,6.6,0.5,1.6,.328,0.4,1.2,.341,0.1,0.4,.294,.451,0.2,0.3,.818,0.2,0.9,1.1,0.8,0.1,0.0,0.3,0.7,1.7,pinsoth01
375,Scotty Pippen Jr.,PG,22,LAL,6,0,5.3,0.7,2.0,.333,0.2,0.5,.333,0.5,1.5,.333,.375,0.8,1.5,.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3,pippesc02
376,Mason Plumlee,C,32,TOT,74,60,26.6,4.3,6.3,.679,0.0,0.0,,4.3,6.3,.679,.679,2.6,4.1,.631,3.0,6.2,9.2,3.2,0.6,0.6,1.5,2.7,11.1,plumlma01
377,Jakob Poeltl,C,27,TOT,66,65,26.7,5.5,8.7,.631,0.0,0.0,.000,5.5,8.7,.632,.631,1.8,2.9,.601,3.3,5.9,9.2,2.8,1.0,1.2,1.8,2.8,12.7,poeltja01
378,Aleksej Pokusevski,PF,21,OKC,33,25,20.9,3.2,7.5,.435,1.2,3.1,.373,2.1,4.4,.479,.512,0.7,1.1,.629,1.4,3.4,4.8,1.9,0.6,1.3,1.3,1.8,8.3,pokusal01
379,Jordan Poole,PG,23,GSW,77,42,30.4,6.8,15.7,.430,2.6,7.8,.333,4.2,7.9,.525,.512,4.3,5.0,.872,0.4,2.4,2.8,4.5,0.8,0.2,3.1,2.5,20.4,poolejo01
380,Kevin Porter Jr.,PG,22,HOU,55,55,34.1,6.5,14.9,.438,2.2,6.3,.350,4.3,8.6,.502,.512,3.5,4.5,.785,1.3,4.2,5.5,5.8,1.3,0.3,3.2,2.6,18.7,porteke02
381,Michael Porter Jr.,SF,24,DEN,58,58,29.0,6.4,12.9,.491,3.0,7.2,.422,3.3,5.8,.577,.608,1.6,1.9,.811,1.0,4.5,5.4,1.1,0.6,0.5,1.1,2.0,17.3,portemi01
382,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,.500,0.8,2.1,.353,1.1,1.6,.692,.600,1.0,1.0,1.000,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5,porteot01
383,Bobby Portis,PF,27,MIL,65,20,25.9,5.6,11.2,.498,1.2,3.5,.345,4.4,7.8,.566,.551,1.4,1.8,.781,2.2,7.3,9.5,1.5,0.4,0.2,1.2,1.7,13.8,portibo01
384,Kristaps Porziņģis,C,27,WAS,65,65,32.6,7.8,15.7,.498,2.1,5.5,.385,5.7,10.2,.559,.565,5.4,6.4,.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,23.2,porzikr01
385,Micah Potter,PF,24,UTA,5,0,5.4,1.2,1.6,.750,0.4,0.6,.667,0.8,1.0,.800,.875,0.0,0.0,,0.2,0.4,0.6,0.6,0.0,0.0,0.2,0.6,2.8,pottemi01
386,Dwight Powell,C,31,DAL,72,60,19.4,2.7,3.7,.727,0.0,0.1,.000,2.7,3.6,.741,.727,1.5,2.3,.669,2.0,2.2,4.2,0.9,0.7,0.3,0.9,2.8,6.9,poweldw01
387,Norman Powell,SG,29,LAC,55,7,25.7,5.5,11.6,.474,2.0,4.9,.408,3.5,6.7,.523,.561,3.5,4.4,.802,0.4,2.5,2.9,1.7,0.8,0.3,1.7,2.0,16.6,powelno01
388,Jason Preston,PG,23,LAC,13,0,9.4,1.4,3.2,.439,0.4,1.4,.278,1.0,1.8,.565,.500,0.0,0.2,.000,0.2,1.5,1.7,2.1,0.2,0.0,0.8,0.5,3.2,prestja01
