Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
185,Tim Hardaway Jr.,SG,30,DAL,68,42,30.3,4.7,11.9,.394,2.9,7.8,.379,1.8,4.2,.423,.517,1.7,2.3,.766,0.3,3.2,3.5,1.7,0.7,0.2,0.9,1.7,14.1,hardati02
186,James Harden,PG,33,PHI,54,54,37.0,6.4,14.6,.438,2.8,7.3,.383,3.6,7.3,.492,.534,5.6,6.5,.864,0.7,5.6,6.3,10.9,1.2,0.5,3.4,1.9,21.3,hardeja01
187,Jaden Hardy,SG,20,DAL,43,3,14.7,3.0,6.8,.435,1.3,3.2,.417,1.6,3.6,.452,.534,1.5,1.7,.840,0.2,1.6,1.8,1.3,0.4,0.1,1.0,1.4,8.8,hardyja02
188,Ron Harper Jr.,SF,22,TOR,5,0,3.2,0.8,1.6,.500,0.4,1.0,.400,0.4,0.6,.667,.625,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,2.0,harpero02
189,Montrezl Harrell,C,29,PHI,53,7,12.0,2.1,3.6,.598,0.0,0.1,.000,2.1,3.5,.608,.598,1.1,1.6,.690,1.2,1.5,2.7,0.6,0.3,0.5,0.6,1.4,5.4,harremo01
190,Gary Harris,SG,28,ORL,45,39,24.9,3.0,6.5,.460,2.0,4.6,.440,1.0,1.9,.512,.617,0.6,0.7,.900,0.4,1.6,2.0,1.2,1.0,0.2,0.6,2.0,8.6,harriga01
191,Joe Harris,SG,31,BRK,69,33,21.0,2.7,6.0,.456,1.9,4.5,.425,0.8,1.5,.548,.615,0.2,0.3,.625,0.3,2.0,2.3,1.4,0.4,0.2,0.6,2.0,7.6,harrijo01
192,Kevon Harris,SG,25,ORL,31,0,12.4,1.1,2.7,.410,0.4,1.0,.367,0.7,1.7,.434,.476,0.7,0.9,.815,0.8,1.1,1.9,0.4,0.5,0.1,0.5,1.4,3.3,harrike01
193,Tobias Harris,PF,30,PHI,71,71,33.1,5.8,11.6,.503,1.7,4.4,.395,4.1,7.2,.570,.578,1.6,1.8,.874,0.9,4.9,5.8,2.5,0.9,0.5,1.2,2.0,15.0,harrito02
194,Josh Hart,SF-SG,27,TOT,71,51,32.4,3.7,6.9,.535,0.8,2.2,.378,2.9,4.7,.608,.595,1.7,2.3,.750,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.9,hartjo01
195,Isaiah Hartenstein,C,24,NYK,77,7,19.8,2.1,4.0,.526,0.1,0.5,.216,2.0,3.5,.569,.539,0.6,0.8,.719,2.6,3.9,6.6,1.1,0.6,0.8,0.8,2.6,4.9,harteis01
196,Udonis Haslem,C,42,MIA,6,1,7.7,0.2,2.0,.083,0.0,0.3,.000,0.2,1.7,.100,.083,0.2,0.3,.500,0.7,0.7,1.3,0.0,0.2,0.2,0.0,1.3,0.5,hasleud01
197,Sam Hauser,PF,25,BOS,74,5,15.7,2.1,4.7,.450,1.7,4.0,.418,0.5,0.7,.630,.627,0.2,0.2,.706,0.4,2.1,2.5,0.8,0.3,0.3,0.3,1.3,6.1,hausesa01
198,Jaxson Hayes,C,22,NOP,46,2,13.2,1.9,3.4,.555,0.1,0.6,.103,1.8,2.7,.659,.565,1.3,1.8,.699,0.8,2.0,2.8,0.7,0.4,0.4,0.7,1.5,5.1,hayesja02
199,Killian Hayes,PG,21,DET,70,50,27.6,3.9,10.6,.372,1.0,3.7,.281,2.9,6.9,.421,.421,0.9,1.2,.786,0.3,2.5,2.8,6.1,1.4,0.3,2.2,2.9,9.9,hayeski01
200,Gordon Hayward,SF,32,CHO,50,50,31.5,5.5,11.6,.475,1.0,3.2,.325,4.5,8.4,.532,.520,2.6,3.2,.811,0.7,3.6,4.3,4.1,0.8,0.2,2.0,1.4,14.7,haywago01
201,Juancho Hernangómez,PF,27,TOR,42,10,14.6,1.1,2.7,.421,0.4,1.6,.254,0.7,1.1,.660,.496,0.2,0.4,.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9,hernaju01
202,Willy Hernangómez,C,28,NOP,38,2,12.1,2.3,4.4,.527,0.1,0.3,.273,2.3,4.2,.544,.536,2.1,2.7,.779,1.5,3.2,4.7,0.9,0.4,0.3,1.0,1.7,6.9,hernawi01
203,Tyler Herro,SG,23,MIA,63,63,35.3,7.4,16.8,.441,3.1,8.1,.378,4.3,8.6,.500,.533,2.5,2.7,.930,0.4,5.0,5.5,4.2,0.8,0.3,2.4,1.6,20.4,herroty01
